School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
JACKSONVILLE CHRISTIAN        ,32,6,3301 N. First St.             ,Jacksonville        ,Ar,72076,    ,Chris               ,               ,Files                    ,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,6004000,270,P ,12,N,N,N,
JACKSONVILLE CHRISTIAN        ,32,6,106 Pin Oak                   ,Cabot               ,Ar,72023,    ,Dianna              ,               ,Greene                   ,CABOT SCHOOL DISTRICT,4304000,20,P ,K ,N,N,N,
LEE ACADEMY                   ,32,6,973 Highway 24.               ,Marianna            ,AR,72360,    ,Jeff                ,               ,Duvall                   ,LEE COUNTY SCHOOL DISTRICT,3904000,249,K ,12,N,N,N,
LEGACY ACADEMY - DEQUEEN      ,32,6,124 DARTER CIRCLE             ,LOCKESBURG          ,AR,71846,    ,CHAD                ,               ,GALLAGHER                ,DEQUEEN SCHOOL DISTRICT,6701000,138,P ,12,Y,Y,Y,
LEGACY ACADEMY - DEQUEEN      ,32,6,314 W Gilson Ave              ,DeQueen             ,AR,71832,    ,Chad                ,               ,Gallagher                ,HORATIO SCHOOL DISTRICT,6703000,126,P ,12,Y,N,N,
LIBERTY CHRISTIAN SCHOOL - SEA,32,6,1202 Benton Road              ,Searcy              ,AR,72143,    ,Hillary             ,               ,Polston                  ,BALD KNOB SCHOOL DISTRICT,7301000,0,K ,6,N,N,N,
LIBERTY CHRISTIAN SCHOOL - SEA,32,6,1202 South Benton             ,Searcy              ,AR,72143,    ,Katie               ,               ,Williams                 ,SEARCY SCHOOL DISTRICT,7311000,49,P ,6,N,N,N,
LIFE WAY CHRISTIAN SCHOOL - CE,32,6,351 W Centerton Blvd          ,Centerton           ,AR,72719,    ,Allen               ,               ,Williams                 ,BENTONVILLE SCHOOL DISTRICT,401000,499,P ,12,N,N,N,
LIGHTHOUSE CHRISTIAN ACADEMY  ,32,6,1075 Fox Pass Cutoff          ,Hot Springs         ,AR,71901,    ,Harold              ,               ,Elder                    ,FOUNTAIN LAKE SCHOOL DISTRICT,2602000,27,P ,11,N,N,N,
LIGHTHOUSE CHRISTIAN ACADEMY  ,32,6,505 N Apple St                ,Beebe               ,AR,72143,Dr. ,John                ,               ,Scheel                   ,BEEBE SCHOOL DISTRICT,7302000,25,K ,12,N,N,N,
MARANATHA BAPTIST CHRISTIAN   ,32,6,2165 Smackover Highway        ,El Dorado           ,AR,71730,    ,Bob                 ,               ,Weido                    ,SMACKOVER-NORPHLET SCHOOL DISTRICT,7008000,0,K ,12,N,N,N,
MARANATHA BAPTIST CHRISTIAN   ,32,6,2165 Smackover Hwy            ,El Dorado           ,Ar,71730,Mr. ,Bob                 ,               ,Weido                    ,EL DORADO SCHOOL DISTRICT,7001000,35,K ,12,N,N,N,
MONTESSORI SCHOOL OF JONESBORO,32,6,300 E Nettleton               ,Jonesboro           ,AR,72401,Ms  ,Rhonda              ,               ,Turner                   ,JONESBORO SCHOOL DISTRICT,1608000,7,K ,K ,N,N,N,
